,Fine,On Fire,Burned Out,Rain
0,6465,70,0,0
1,6308,88,139,0
2,6156,87,292,0
3,5951,103,481,0
4,5789,89,657,0
5,5559,117,859,0
6,5356,102,1077,0
7,5142,121,1272,0
8,4904,124,1507,0
9,4635,139,1761,0
10,4428,102,2005,0
11,4188,124,2223,0
12,3897,150,2488,0
13,3649,133,2753,0
14,3385,141,3009,0
15,3139,142,3254,0
16,2931,103,3501,0
17,2743,93,3699,0
18,2536,115,3884,0
19,2272,133,4130,0
20,2062,105,4368,0
21,1836,125,4574,0
22,1628,98,4809,0
23,1389,131,5015,0
24,1160,120,5255,0
25,947,117,5471,0
26,743,111,5681,0
27,536,96,5903,0
28,423,69,6043,0
29,274,74,6187,0
30,165,56,6314,0
31,100,32,6403,0
32,57,21,6457,0
33,31,16,6488,0
34,21,7,6507,0
35,10,7,6518,0
36,9,0,6526,0
