,Fine,On Fire,Burned Out,Rain
0,6459,75,0,0.5
1,6349,74,111,0.5
2,6262,51,221,0.5
3,6187,40,307,0.5
4,6157,24,353,0.5
5,6080,41,413,0.5
6,6029,30,475,0.5
7,5965,33,536,0.5
8,5929,24,581,0.5
9,5863,38,633,0.5
10,5817,27,690,0.5
11,5767,32,735,0.5
12,5699,42,793,0.5
13,5648,30,856,0.5
14,5589,27,918,0.5
15,5549,23,962,0.5
16,5490,34,1010,0.5
17,5439,32,1063,0.5
18,5400,27,1107,0.5
19,5328,35,1171,0.5
20,5237,54,1243,0.5
21,5164,46,1324,0.5
22,5109,29,1396,0.5
23,5060,26,1448,0.5
24,5028,24,1482,0.5
25,4987,21,1526,0.5
26,4959,18,1557,0.5
27,4901,33,1600,0.5
28,4874,21,1639,0.5
29,4824,27,1683,0.5
30,4799,10,1725,0.5
31,4770,19,1745,0.5
32,4719,28,1787,0.5
33,4686,17,1831,0.5
34,4668,13,1853,0.5
35,4647,13,1874,0.5
36,4616,20,1898,0.5
37,4581,19,1934,0.5
38,4505,30,1999,0.5
39,4467,21,2046,0.5
40,4453,6,2075,0.5
41,4435,13,2086,0.5
42,4415,9,2110,0.5
43,4404,5,2125,0.5
44,4400,4,2130,0.5
45,4365,15,2154,0.5
46,4337,14,2183,0.5
47,4320,12,2202,0.5
48,4303,6,2225,0.5
49,4270,16,2248,0.5
50,4264,2,2268,0.5
51,4250,8,2276,0.5
52,4222,14,2298,0.5
53,4219,4,2311,0.5
54,4212,5,2317,0.5
55,4184,16,2334,0.5
56,4180,6,2348,0.5
57,4154,12,2368,0.5
58,4140,7,2387,0.5
59,4135,3,2396,0.5
60,4120,10,2404,0.5
61,4097,10,2427,0.5
62,4050,22,2462,0.5
63,4030,13,2491,0.5
64,4012,9,2513,0.5
65,3983,12,2539,0.5
66,3967,14,2553,0.5
67,3951,9,2574,0.5
68,3932,9,2593,0.5
69,3924,6,2604,0.5
70,3913,9,2612,0.5
71,3884,15,2635,0.5
72,3820,35,2679,0.5
73,3797,16,2721,0.5
74,3768,24,2742,0.5
75,3702,40,2792,0.5
76,3623,37,2874,0.5
77,3568,33,2933,0.5
78,3524,19,2991,0.5
79,3502,13,3019,0.5
80,3470,22,3042,0.5
81,3416,28,3090,0.5
82,3378,21,3135,0.5
83,3343,25,3166,0.5
84,3294,33,3207,0.5
85,3278,16,3240,0.5
86,3248,16,3270,0.5
87,3242,2,3290,0.5
88,3242,0,3292,0.5
